# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 3.14000000e+00
# Aref          : 3.14000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
50.46           	1.23573224e-04	1.07842344e+00	-6.02599228e-01	-3.01176041e-01	-3.01423187e-01
50.462          	1.23211352e-04	1.07840661e+00	-6.02954635e-01	-3.01354106e-01	-3.01600529e-01
50.464          	1.22813250e-04	1.07802190e+00	-6.03421306e-01	-3.01587840e-01	-3.01833466e-01
50.466          	1.22486479e-04	1.07742200e+00	-6.03739665e-01	-3.01747346e-01	-3.01992319e-01
50.468          	1.21948694e-04	1.07708662e+00	-6.03991420e-01	-3.01873761e-01	-3.02117659e-01
50.47           	1.21350762e-04	1.07713399e+00	-6.04238773e-01	-3.01998036e-01	-3.02240737e-01
50.472          	1.20693962e-04	1.07678909e+00	-6.04657664e-01	-3.02208138e-01	-3.02449526e-01
50.474          	1.20000842e-04	1.07688708e+00	-6.04818638e-01	-3.02289318e-01	-3.02529320e-01
50.476          	1.19247793e-04	1.07732767e+00	-6.04629369e-01	-3.02195436e-01	-3.02433932e-01
50.478          	1.18519700e-04	1.07708786e+00	-6.04848967e-01	-3.02305964e-01	-3.02543003e-01
50.48           	1.18064957e-04	1.07721921e+00	-6.05171121e-01	-3.02467495e-01	-3.02703625e-01
50.482          	1.17628611e-04	1.07705441e+00	-6.05373881e-01	-3.02569312e-01	-3.02804569e-01
50.484          	1.17070626e-04	1.07715729e+00	-6.05289759e-01	-3.02527809e-01	-3.02761950e-01
50.486          	1.16629350e-04	1.07716341e+00	-6.05028584e-01	-3.02397663e-01	-3.02630921e-01
50.488          	1.15906899e-04	1.07717313e+00	-6.04665285e-01	-3.02216736e-01	-3.02448550e-01
50.49           	1.15035721e-04	1.07677426e+00	-6.04783141e-01	-3.02276535e-01	-3.02506606e-01
