UMean:0	Points:0
0.84075	18.017
0.84095	18.037
0.84115	18.057
0.84135	18.077
0.84154	18.097
0.84174	18.117
0.84194	18.137
0.84214	18.157
0.84234	18.177
0.84254	18.197
0.84274	18.217
0.84293	18.237
0.84313	18.257
0.84333	18.277
0.84353	18.297
0.84373	18.317
0.84393	18.337
0.84413	18.357
0.84432	18.377
0.84452	18.397
0.84472	18.417
0.84492	18.437
0.84512	18.457
0.84532	18.477
0.84552	18.497
0.84571	18.517
0.84591	18.537
0.84611	18.557
0.84627	18.577
0.84642	18.597
0.84658	18.617
0.84673	18.637
0.84689	18.657
0.84704	18.677
0.84719	18.697
0.84735	18.717
0.8475	18.737
0.84765	18.757
0.84781	18.777
0.84796	18.797
0.84811	18.817
0.84827	18.837
0.84842	18.857
0.84858	18.877
0.84873	18.897
0.84888	18.917
0.84904	18.937
0.84919	18.957
0.84934	18.977
0.8495	18.997
0.84965	19.017
0.84973	19.037
0.84973	19.057
0.84973	19.077
0.84972	19.097
0.84972	19.117
0.84971	19.137
0.84971	19.157
0.84971	19.177
0.8497	19.197
0.8497	19.217
0.8497	19.237
0.84968	19.257
0.84965	19.277
0.84962	19.297
0.84958	19.317
0.84955	19.337
0.84952	19.357
0.84949	19.377
0.84946	19.397
0.84943	19.417
0.8494	19.437
0.84937	19.457
0.84934	19.477
0.84931	19.497
0.84927	19.517
0.84924	19.537
0.84921	19.557
0.84918	19.577
0.84915	19.597
0.84912	19.617
0.84909	19.637
0.84906	19.657
0.84903	19.677
0.849	19.697
0.84877	19.717
0.84856	19.737
0.84842	19.757
0.84827	19.777
0.84812	19.797
0.84797	19.817
0.84783	19.837
0.84768	19.857
0.84753	19.877
0.84736	19.897
0.84714	19.917
0.84693	19.937
0.84651	19.957
0.84558	19.977
0 	19.997
